#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
100080	Y	DDB_G0291285		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		31.391
100082	Y	colC	"Cna B-type domain-containing protein, colossin C"	nucleic acid binding | calcium ion binding	"PRICHEXTENSN, EF_HAND, RRM_RNP_1"	31.8404
100084	Y	estExt_fgeneshDP_pg.C_6470002				7.44253
100086	Y	DDB_G0272845	AB-hydrolase associated lipase region containing protein	sterol esterase activity | lipid metabolism | carboxylic ester hydrolase activity	Abhydro_lipase	34.5062
100091	Y	med21	putative mediator complex subunit 21			18.257
100094	Y	estExt_fgeneshDP_pg.C_6550001				32.362
100099	Y	DDB_G0269374				32.6051
100101	Y	DDB_G0285933				29.3221
100104	Y	estExt_fgeneshDP_pg.C_6670001				0.663008
100110	Y	estExt_fgeneshDP_pg.C_6760001		nucleic acid binding	zf-CCCH	30.8891
100116	Y	pkgD	"PKA family protein kinase, cAMP-dependent protein kinase, protein kinase 4, protein kinase A family kinase, protein kinase,  AGC group, protein serine/threonine kinase"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q9SXP9_EUGGR_Q9SXP9;, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	30.9609
100117	Y	DDB_G0288805				33.3335
100122	Y	estExt_fgeneshDP_pg.C_6860001		protein modification	"UBQ, UBIQUITIN_2"	27.9264
100137	Y	estExt_fgeneshDP_pg.C_7070001			"FNIP, L domain-like"	6.98903
100140	Y	estExt_fgeneshDP_pg.C_7080004				9.62735
100146	Y	DDB_G0268280		ubiquitin-protein ligase activity		33.6666
100150	Y	estExt_fgeneshDP_pg.C_7280002				31.4738
100160	Y	anapc4	anaphase promoting complex subunit 4	ubiquitin-protein ligase activity		33.8874
100171	Y	estExt_fgeneshDP_pg.C_7640002				33.8282
100174	Y	DDB_G0285807	unknown	protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		23.827
100176	Y	DDB_G0287911	"poly(ADP-ribose) polymerase,  catalytic region domain-containing protein"	"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		31.6791
100178	Y	DDB_G0274255	putative protein hypothetical protein F27D4.1 - Arabidopsis thaliana	ubiquitin-protein ligase activity		25.7654
100179	Y	DDB_G0277777	Similar to Dictyostelium discoideum (Slime mold). prespore-specific protein.	zinc ion binding	"sp_Q86AW3_DICDI_Q86AW3;, PH, LIM, LIM, PH, PH_DOMAIN, LIM_DOMAIN_2, LIM_DOMAIN_1"	32.3875
10036	Y	gw1.76.17.1		protein kinase activity | protein serine/threonine kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | protein-tyrosine kinase activity | ATP binding | cAMP-dependent protein kinase complex | protein kinase CK2 complex | protein amino acid phosphorylation | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity	"sp_KYK1_DICDI_P18160;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_TYR"	24.2639
10143	Y	fsjB	"putative rRNA (uridine-2'-O-)-methyltransferase, rRNA methyltransferase"	"rRNA (adenine-N6,N6-)-dimethyltransferase activity | C-terminal protein carboxyl methyltransferase activity | methyltransferase activity | C-methyltransferase activity | N-methyltransferase activity | O-methyltransferase activity | S-methyltransferase activity | RNA methyltransferase activity | mRNA methyltransferase activity | tRNA methyltransferase activity | protein methyltransferase activity | site-specific DNA-methyltransferase (cytosine-specific) activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | rRNA methyltransferase activity | rRNA (uridine-2'-O-)-methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity | DNA-methyltransferase activity | rRNA (cytosine-C5-967)-methyltransferase activity | selenocysteine methyltransferase activity | arginine N-methyltransferase activity | protein-arginine N-methyltransferase activity | lysine N-methyltransferase activity | protein-lysine N-methyltransferase activity | tRNA (uracil) methyltransferase activity |"	"FtsJ, SAM_BIND"	35.939
10189	Y	ccdc94	putative RNA splicing factor		DUF572	35.9433
10267	Y	gacO	RhoGAP domain-containing protein		"RhoGAP, RhoGAP, RHOGAP"	35.9324
10325	Y	gw1.299.10.1				35.8998
10349	Y	gw1.381.2.1			FNIP	35.7811
10404	Y	gw1.286.17.1			"OTU, OTU"	8.19861
10447	Y	DDB_G0284085		metabolism | oxidoreductase activity | regulation of oxidoreductase activity	"GDHRDH, adh_short, ADH_SHORT"	30.8689
10469	Y	DDB_G0286713			"TPR_REPEAT, TPR_REGION"	35.8675
10471	Y	gw1.248.10.1		phosphoprotein phosphatase activity | protein amino acid dephosphorylation | protein tyrosine/serine/threonine phosphatase activity	"DSPc, DSPc, TYR_PHOSPHATASE_DUAL, TYR_PHOSPHATASE_2"	35.9163
10519	Y	DDB_G0285907	AgCP12244 (Fragment).		"OTU, OTU"	35.1818
10564	Y	DDB_G0282041			DUF862	35.9344
10592	Y	gw1.1.63.1				20.1972
10607	Y	psmD10	"26S proteasome non-ATPase regulatory subunit 10, 26S proteasome regulatory subunit p28, ankyrin repeat-containing protein"		"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	31.1256
10636	Y	uglB	"uracil glycosylase, uracil-DNA glycosylase"	"uracil DNA N-glycosylase activity | DNA repair | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"	"sp_Q86L35_DICDI_Q86L35;, UDG"	35.947
10642	Y	gw1.42.15.1		GTP binding | intracellular protein transport | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, GTPRANTC4, Ras, RAS, RAB, RAN"	35.8562
10653	Y	rsmD	small GTPase	GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, small_GTP"	35.8592
10678	Y	coq3	"3, 4-dihydroxy-5-hexaprenylbenzoate methyltransferase, hexaprenyldihydroxybenzoate methyltransferase, methyltransferase type 11 domain-containing protein"	"hexaprenyldihydroxybenzoate methyltransferase activity | ubiquinone biosynthesis | methyltransferase activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity"	"UbiG, MET_TRANS, SAM_BIND"	34.6884
10699	Y	DDB_G0294577	Rab GTPase	GTP binding | small GTPase mediated signal transduction | protein transport	RAB	35.8971
10731	Y	gw1.18.17.1			DUF862	35.634
10734	Y	cox11	cytochrome c oxidase assembly protein	copper ion binding	CtaG_Cox11	32.7886
10755	Y	gw1.286.20.1			"OTU, OTU"	4.97059
10759	Y	gw1.68.18.1		GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, RAS, RAB"	35.9237
10848	Y	DDB_G0292946				34.9394
10863	Y	cycK	"cyclin, putative K-type cyclin"	regulation of cell cycle	"Cyclin_N, CYCLIN"	35.9067
10866	Y	gw1.530.5.1		GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, RAS, RAB"	35.9183
10887	Y	gw1.270.17.1		GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, small_GTP"	35.9384
10890	Y	DDB_G0275905				35.9076
10903	Y	gw1.182.4.1		nucleus | DNA replication	Psf2	29.3524
10979	Y	arfrp1	"ADP-ribosylation factor-like protein, ARF-like protein"	ATP binding | GTP binding | intracellular protein transport | small GTPase mediated signal transduction	"SAR1GTPBP, RASTRNSFRMNG, Arf, ARF, SAR, ATP_GTP_A2"	35.8861
11061	Y	DDB_G0277631	Similar to hypothetical ORF; Pth2p.	aminoacyl-tRNA hydrolase activity	"sp_Q86AW1_DICDI_Q86AW1;, UPF0099, TIGR00283"	35.5305
11068	Y	gw1.529.1.1			"OTU, OTU"	0.00230947
11107	Y	vps20	SNF7 family protein	molecular function unknown	SNF7	35.9277
11127	Y	rpl19	S60 ribosomal protein L19	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RL19_DICDI_P14329;, Ribosomal_L19e, RIBOSOMAL_L19E"	35.6026
11134	Y	gw1.119.18.1		GTPase activity | small monomeric GTPase activity | GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, small_GTP"	35.928
11157	Y	gw1.276.24.1			"OTU, OTU"	0.00230947
11174	Y	DDB_G0284959	optic atrophy 3-like family protein		OPA3	35.8261
11178	Y	gw1.411.18.1				4.02217
11201	Y	gw1.493.4.1				3.46966
11209	Y	DDB_G0291199	2700084L22Rik protein (EC 6.3.2.19) (Ubiquitin-conjugating enzyme E2) (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (RIKEN cDNA 2700084L22 gene).	ubiquitin conjugating enzyme activity | ubiquitin-protein ligase activity | protein modification | ubiquitin cycle	"sp_Q9NPD8_HUMAN_Q9NPD8;, UQ_con, UBCc, UBIQUITIN_CONJUGAT_2, UBIQUITIN_CONJUGAT_1"	35.6377
11237	Y	DDB_G0275459	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein"	nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	35.9307
11264	Y	DDB_G0281965		fatty-acid synthase activity | fatty acid synthase complex | fatty acid biosynthesis | metabolism | oxidoreductase activity	"FASYNTHASE, MaoC_dehydratas"	35.8204
11305	Y	DDB_G0288289	"P23552 Beta-xylosidase (EC 3.2.1.37) (1, 4-beta-D-xylan xylohydrolase) (Xylan 1, 4-beta-xylosidase)."	"hydrolase activity, hydrolyzing O-glycosyl compounds | carbohydrate metabolism"	"GLHYDRLASE39, GLYCOSYL_HYDROL_F39"	35.8908
11322	Y	DDB_G0292766				35.9353
11345	Y	fxn	frataxin		"sp_FRDA_ARATH_Q9ZR07;, Frataxin_Cyay, FRATAXIN_2, FRATAXIN_1"	34.5935
11392	Y	gw1.73.26.1		DNA binding | nucleus	"Myb_DNA-binding, SANT, MYB_3, MYB_1, MYB_2"	35.8849
11414	Y	gw1.145.8.1		GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, small_GTP"	35.8294
11430	Y	gw1.93.5.1				28.3077
11435	Y	gw1.365.11.1			"OTU, OTU"	14.4116
11524	Y	DDB_G0277705		RNA binding | ribonuclease H activity | ribonuclease H1 activity	RNase_HII	35.9435
11599	Y	DDB_G0280121	C2H2-type zinc finger-containing protein	nucleic acid binding | nucleus | zinc ion binding	"ZnF_U1, ZINC_FINGER_C2H2_1"	31.1928
11664	Y	ssr3	translocon-associated protein TRAP gamma subunit	translocon complex | cotranslational protein-membrane targeting | integral to endoplasmic reticulum membrane	TRAP-gamma	35.9307
11690	Y	DDB_G0287399				35.9219
11881	Y	gw1.301.22.1				35.9258
11902	Y	taf9	"TFIID subunit, transcription initiation factor TFIID subunit"	DNA binding | transcription factor TFIID complex | transcription initiation	"sp_Q86KG5_DICDI_Q86KG5;, TFIID-31kDa, HIST_TAF"	35.9132
11971	Y	med28	putative mediator complex subunit 28			27.2072
11972	Y	gw1.4.42.1		calcium ion binding	"EGF_CA, EGF_CA, EGF, EGF_CA_2, ASX_HYDROXYL, EGF_CA"	35.8837
11975	Y	taf12	"TFIID subunit, transcription initiation factor TFIID subunit"	DNA binding | transcription factor TFIID complex | transcription initiation	"sp_Q8MP19_DICDI_Q8MP19;, TFIID_20kDa, HIST_TAF"	35.8882
12008	Y	gw1.213.10.1			"OTU, OTU"	0.00230947
12010	Y	gw1.706.1.1		serine-type endopeptidase inhibitor activity	"OTU, OTU, SERPIN"	0.833718
12023	Y	psiS	PA14 domain-containing protein			35.6418
12102	Y	gw1.171.8.1				35.7922
12105	Y	H2Bv3	histone H2B domain-containing protein	nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_H2B_EUPCR_O97484;, Histone, H2B, HIST_TAF"	18.3223
12115	Y	drpp21	RNase P protein subunit	ribonuclease P activity	Rpr2	35.8317
12128	Y	gw1.353.23.1			FNIP	25.4138
12134	Y	tmem56B	"TMEM56 family protein 2, TRAM,  LAG1 and CLN8 homology domain-containing protein"	integral to membrane	"DUF887, TLC"	35.3256
12191	Y	gw1.1.80.1		ubiquitin conjugating enzyme activity | protein modification | ubiquitin cycle	"sp_Q94490_DICDI_Q94490;, UQ_con, UBCc, UBIQUITIN_CONJUGAT_2"	35.8884
12263	Y	gw1.278.27.1				34.2952
12282	Y	DDB_G0276339				35.8871
12291	Y	DDB_G0272006	unknown			35.8961
12292	Y	gw1.24.13.1		actin binding | intracellular	ADF	35.9069
12317	Y	gw1.694.6.1				35.9091
12366	Y	gw1.242.7.1			"BROMODOMAIN, Bromodomain, BROMO, BROMODOMAIN_2"	11.7934
12367	Y	gw1.677.5.1		DNA binding	"CBFD_NFYB_HMF, HIST_TAF"	35.8971
12401	Y	gw1.38.26.1		phosphoprotein phosphatase activity | protein amino acid dephosphorylation | protein tyrosine/serine/threonine phosphatase activity	"DSPc, DSPc, TYR_PHOSPHATASE_DUAL, TYR_PHOSPHATASE_2, TYR_PHOSPHATASE_1"	35.9132
12491	Y	cyb5B	"Similar to cytochrome b5 (Dbj|BAA74839.1); protein id: At5g53560.1,  supported by cDNA: 31303.,  supported by cDNA: gi_19423893,  supported by cDNA: gi_21281007,  supported by cDNA: gi_4240119."		"sp_Q86L22_DICDI_Q86L22;, CYTOCHROMEB5, Cyt-b5, CYTOCHROME_B5_2"	35.843
12561	Y	DDB_G0282873	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein"	nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	35.8694
12612	Y	gw1.481.10.1			"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	35.9091
12619	Y	rsmA	small GTPase	GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, small_GTP"	35.9281
12637	Y	DDB_G0280369			"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	10.9346
12667	Y	nxnB	"annexin I, putative actin binding protein"	calcium ion binding | calcium-dependent phospholipid binding	"sp_Q9ZR53_MEDSA_Q9ZR53;, ANNEXIN, ANNEXINIV, Annexin, ANX"	11.8504
12681	Y	DDB_G0285357	FKBP-type peptidylprolyl cis-trans isomerase (PPIase)	protein folding	"FKBP_C, FKBP_PPIASE_3, FKBP_PPIASE_1, FKBP_PPIASE_2"	35.8849
12699	Y	gw1.269.14.1		chromatin | chromatin binding | nucleus | chromatin assembly or disassembly	"CHROMO, CHROMO_2"	29.6273
12703	Y	gw1.445.14.1		chromatin | chromatin binding | nucleus | chromatin assembly or disassembly	"CHROMO, CHROMO_2"	0.00381679
12712	Y	taf11	"TFIID subunit, transcription initiation factor TFIID subunit"	DNA binding | transcription factor activity | nucleus | regulation of transcription	"TAFII28, HIST_TAF"	35.8789
12785	Y	gw1.194.11.1				21.1567
12802	Y	gw1.226.13.1		DNA binding	ParB	35.8801
12804	Y	gw1.63.15.1		nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_H2B_EUPCR_O97484;, Histone, H2B, HIST_TAF"	22.3909
12844	Y	gw1.322.9.1			FNIP	35.8997
13105	Y	DDB_G0282433			"SNARE, T_SNARE"	34.3433
13118	Y	gw1.166.17.1			"LEURICHRPT, LRR, LRR_PS, LRR_PS"	35.8801
13138	Y	gw1.327.14.1		protein folding	"FKBP_C, FKBP_PPIASE_3, FKBP_PPIASE_2"	32.2664
13167	Y	gw1.23.10.1				35.8158
13214	Y	DDB_G0270206			TPR_REGION	35.8214
13262	Y	gw1.376.12.1				11.6449
13266	Y	gw1.380.21.1		nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_Q8CGP4_MOUSE_Q8CGP4;, HISTONEH2A, Histone, H2A, HIST_TAF"	35.6851
13300	Y	gw1.312.16.1				2.99539
13314	Y	gw1.32.40.1		"DNA binding | nucleus | regulation of transcription, DNA-dependent"	"CCAATSUBUNTA, CBFD_NFYB_HMF, HIST_TAF, CBFA_NFYB"	35.8849
13347	Y	gw1.591.9.1		protein folding | heat shock protein binding | unfolded protein binding	"DnaJ, zf-CSL, DnaJ, DNAJ_2, DNAJ_1"	0.00235849
13362	Y	gw1.277.19.1		nucleic acid binding	"PAP, PAP_CORE"	35.8708
13370	Y	DDB_G0272472	"calponin homology (CH) domain-containing protein, putative actin binding protein"		"CH, CH, CH"	35.8825
13388	Y	gw1.204.1.1		"chromatin | DNA binding | nucleus | regulation of transcription, DNA-dependent"	"HIGHMOBLTY12, HMG_box, HMG, HMG_BOX_2"	3.78571
13409	Y	gw1.56.9.1		electron transporter activity | electron transport	"THIOREDOXIN, Thioredoxin, THIOREDOXIN_2, THIOREDOXIN"	35.8708
13427	Y	DDB_G0286989				33.6946
13442	Y	gw1.282.42.1		phosphoprotein phosphatase activity | protein amino acid dephosphorylation | protein tyrosine/serine/threonine phosphatase activity	"DSPc, DSPc, TYR_PHOSPHATASE_DUAL, TYR_PHOSPHATASE_2, TYR_PHOSPHATASE_1"	35.7831
13462	Y	gw1.20.23.1		nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_Q8SQI0_DICDI_Q8SQI0;, HISTONEH4, Histone, H4, HIST_TAF, HISTONE_H4"	21.8198
13500	Y	gw1.309.1.1				7.87895
13521	Y	gw1.282.43.1				35.7771
13528	Y	gw1.655.6.1			FNIP	35.8409
13537	Y	gw1.434.7.1		protein kinase activity | protein serine/threonine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q8WXR4_HUMAN_Q8WXR4;, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	18.3594
13540	Y	gw1.3.48.1				35.3471
13560	Y	gw1.284.23.1		protein dimerization activity	hATC	24.9206
13578	Y	DDB_G0271168				35.8548
13641	Y	DDB_G0291942				10.4976
13646	Y	gw1.269.23.1				35.8034
13655	Y	gw1.127.7.1		guanyl-nucleotide exchange factor activity | intracellular signaling cascade	RASGEF_CAT	3.26119
13661	Y	DDB_G0293048				35.8664
13673	Y	sdhaf1A				35.161
13674	Y	DDB_G0268836		3-dehydroquinate dehydratase activity | aromatic amino acid family biosynthesis	sp_AROD_AQUAE_O66440;	35.8643
13692	Y	gw1.421.17.1				23.6511
13707	Y	gw1.657.2.1		nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"HISTONEH2A, Histone, H2A, HIST_TAF, HISTONE_H2A"	23.2949
13730	Y	DDB_G0288433				35.7543
13745	Y	DDB_G0267706				33.7253
13763	Y	gw1.182.16.1		DNA binding | ATP binding | DNA replication initiation | DNA-dependent ATPase activity	"MCMFAMILY, MCM_2"	35.8583
13772	Y	DDB_G0271070				35.8451
13792	Y	gw1.294.26.1				1.66327
13832	Y	gw1.586.10.1				35.8723
13859	Y	DDB_G0271016	Similar to Plasmodium falciparum (Isolate 3D7). Asparagine-rich antigen.			0.00436681
13870	Y	lsm6	"LSM (like-Sm) domain-containing protein, putative U6 small nuclear ribonucleoparticle-associated protein"	nucleus | small nucleolar ribonucleoprotein complex | mRNA processing | ribonucleoprotein complex	"sp_Q86ID1_DICDI_Q86ID1;, LSM, Sm"	35.8158
13877	Y	H2AX	histone H2A	nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_Q8CGP4_MOUSE_Q8CGP4;, HISTONEH2A, Histone, H2A, HIST_TAF"	35.898
13896	Y	gw1.39.46.1		DNA binding	"WRKY, WRKY"	35.6683
13914	Y	gw1.229.12.1		DNA binding	"CBFD_NFYB_HMF, HIST_TAF"	35.86
13929	Y	spt4	transcription initiation factor Spt4	nucleus | positive transcription elongation factor activity | zinc ion binding | positive regulation of transcription	Spt4	35.8409
13956	Y	gflC	PHD zinc finger-containing protein	"DNA binding | regulation of transcription, DNA-dependent"	"PHD, PHD, ZF_PHD_2, ZF_PHD_1"	33.7914
13968	Y	H4a	histone H4	nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"sp_Q8SQI0_DICDI_Q8SQI0;, HISTONEH4, Histone, H4, HIST_TAF, HISTONE_H4"	21.8198
13980	Y	DDB_G0282185	"RING zinc finger-containing protein, U box domain-containing protein"			35.7682
13981	Y	DDB_G0289417				30.2299
14027	Y	hbx3	"homeodomain (HOX) containing protein, putative homeobox transcription factor"	"DNA binding | transcription factor activity | nucleus | regulation of transcription, DNA-dependent"	"sp_Q9I9B4_BRARE_Q9I9B4;, HOMEOBOX, Homeobox, HOX, HOMEOBOX_2"	35.7929
14102	Y	DDB_G0283571				35.8617
14104	Y	gw1.469.14.1				35.7261
14225	Y	gw1.792.3.1		actin binding | smooth muscle contraction	"sp_Q8WWI1_HUMAN_Q8WWI1;, SM22CALPONIN, CALPONIN, CH, CH"	35.7788
14334	Y	gw1.9.14.1		catalytic activity | fatty acid biosynthesis | metabolism | zinc ion binding | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, HEMOPEXIN, B_KETOACYL_SYNTHASE"	35.8954
14379	Y	gw1.245.9.1		catalytic activity | fatty acid biosynthesis | metabolism | methyltransferase activity | zinc ion binding | S-adenosylmethionine-dependent methyltransferase activity | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MET_TRANS, SAM_BIND, B_KETOACYL_SYNTHASE"	34.6624
14407	Y	lvsC	BEACH domain-containing protein	peroxidase activity | response to oxidative stress	"WD40, Beach, WD40, WD_REPEATS_2, BEACH, WD_REPEATS_REGION, PEROXIDASE_1"	35.9013
14576	Y	gw1.37.23.1			"LRR, FNIP"	6.99179
14599	Y	gw1.9.20.1			WW_DOMAIN_1	35.7495
14626	Y	DG2033	tRNA/rRNA methyltransferase SpoU family protein	RNA binding | RNA processing | RNA methyltransferase activity | tRNA (guanosine-2'-O-)-methyltransferase activity	"sp_Q13395_HUMAN_Q13395;, SpoU_methylase"	34.3902
146457	Y	DDB_G0274629	unknown			35.8364
146461	Y	GID1.0037150			FNIP	35.8881
146468	Y	DDB_G0274401		oxidoreductase activity	ALDKETRDTASE	32.9704
146472	Y	GID1.0037161				4.7761
146475	Y	DDB_G0289819	Q94481 Protein cigB (Fragment).		FNIP	16.5922
146480	Y	GID1.0037169		exo-alpha-sialidase activity		33.7526
146481	Y	GID1.0037170			FNIP	35.1122
146482	Y	GID1.0037171			FNIP	21.069
146484	Y	GID1.0037173		1-phosphatidylinositol-4-phosphate kinase | 1-phosphatidylinositol-4-phosphate 5-kinase activity		28.0656
146490	Y	GID1.0037179		calcium ion binding	EF_HAND	18.5431
146497	Y	GID1.0037186			LRR	9.7844
146500	Y	GID1.0037189			"Arm, ARM, ARM_REPEAT"	34.9535
146501	Y	GID1.0037190				34.2587
146503	Y	bre1	"RING zinc finger-containing protein, RmlC-like cupin family protein"	ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	31.2412
