#gene ID	dictybase ID										
#genename	gene name										
#synonyms	dictybase synonyms										
#annotation	gene annotation										
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and #Cellular Component ontologies are separated by || and each term within the ontology is #separated by comma."										
#domains	Protein domain identified in gene. Separated by comma.										
#polyA	Indicate if gene has polyA tail										
#est_count	Number of ESTs mapping to gene										
#published_mutants	Published mutants of gene. Each strain is separated by ||. The phenotype #for each strain is separated by comma.										
#cell_type	gene enrichment in cell type. Defined using Maeda et al.										
#enrichment_pattern	The clone ID and cell type enrichment pattern reported by Maeda et al.										
#percent_mapability	The percent of mapable transcript nucleotides 										
#											
gene ID	genename	synonyms	annotation	go_terms	domains	polyA	est_count	published_mutants	cell_type	enrichment_pattern	percent_mapability
DDB_G0267210	DDB_G0267210		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication, DNA recombination, DNA integration || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.028542
DDB_G0267212	DDB_G0267212		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.121065
DDB_G0267214	DDB_G0267214					Y					0.42446
DDB_G0267216	DDB_G0267216					Y					0.611222
DDB_G0267218	DDB_G0267218					Y					0.951923
DDB_G0267220	DDB_G0267220					Y					1
DDB_G0267222	DDB_G0267222					Y					0.825364
DDB_G0267224	DDB_G0267224					Y					1
DDB_G0267226	DDB_G0267226		Putative retroelement pol polyprotein.	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "		Y					1
DDB_G0267228	DDB_G0267228					Y					0.0356317
DDB_G0267230	DDB_G0267230					Y					0.0181347
DDB_G0267232	DDB_G0267232					Y					1
DDB_G0267234	DDB_G0267234					Y					0.724138
DDB_G0267236	DDB_G0267236		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.0145631
DDB_G0267238	DDB_G0267238		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00222469
DDB_G0267240	DDB_G0267240		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication, DNA recombination, DNA integration || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.0305126
DDB_G0267242	DDB_G0267242		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0401891
DDB_G0267244	DDB_G0267244		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	P:  || F: DNA binding || C: 		Y					0.000460193
DDB_G0267246	DDB_G0267246		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00891972
DDB_G0267248	DDB_G0267248		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.0180723
DDB_G0267250	DDB_G0267250					Y					0.0179445
DDB_G0267252	DDB_G0267252					Y	1				0.0505181
DDB_G0267254	DDB_G0267254_ps		pseudogene			Y					0.0157773
DDB_G0267258	DDB_G0267258		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.000441306
DDB_G0267260	DDB_G0267260		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00099108
DDB_G0267262	DDB_G0267262		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0578279
DDB_G0267264	DDB_G0267264					Y					0.00911162
DDB_G0267272	DDB_G0267272		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0961538
DDB_G0267274	DDB_G0267274					Y					0.055235
DDB_G0267276	DDB_G0267276					Y					0.194946
DDB_G0267278	DDB_G0267278					Y					0.227941
DDB_G0267280	DDB_G0267280					Y					0.018677
DDB_G0267282	DDB_G0267282		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0937866
DDB_G0267284	DDB_G0267284					Y					0.518717
DDB_G0267286	DDB_G0267286					Y					0.79562
DDB_G0267290	DDB_G0267290		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0674847
DDB_G0267292	DDB_G0267292		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00099108
DDB_G0267294	DDB_G0267294		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.000441306
DDB_G0267296	DDB_G0267296		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	P:  || F: DNA binding || C: 		Y					0.310409
DDB_G0267298	DDB_G0267298					Y					0.184211
DDB_G0267300	DDB_G0267300		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0519031
DDB_G0267302	DDB_G0267302					Y					0.293478
DDB_G0267304	DDB_G0267304		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.123851
DDB_G0267306	DDB_G0267306		"LTR-RETROTRANSPOSON SKIPPER, GAG (Fragment)."	"P: RNA-dependent DNA replication, DNA integration || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y	1				0.08432
DDB_G0267308	DDB_G0267308		"LTR-RETROTRANSPOSON SKIPPER, GAG (GAG)."	"P:  || F: nucleic acid binding, zinc ion binding || C: "		Y					0.0606796
DDB_G0267310	DDB_G0267310		"LTR-RETROTRANSPOSON SKIPPER, GAG (GAG)."			Y					0.0615385
DDB_G0267312	DDB_G0267312					Y	1				0.00719424
DDB_G0267314	DDB_G0267314		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.0504202
DDB_G0267316	DDB_G0267316		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.135246
DDB_G0267318	DDB_G0267318					Y					0.804054
DDB_G0267320	DDB_G0267320					Y					0.81875
DDB_G0267322	DDB_G0267322		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.00193424
DDB_G0267324	DDB_G0267324		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0426165
DDB_G0267328	DDB_G0267328		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00639535
DDB_G0267330	DDB_G0267330		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.026839
DDB_G0267332	DDB_G0267332					Y					0.0018797
DDB_G0267334	DDB_G0267334		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.0021322
DDB_G0267336	DDB_G0267336					Y					0.00126582
DDB_G0267338	DDB_G0267338		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.00205339
DDB_G0267342	DDB_G0267342		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication, DNA recombination, DNA integration || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.0115149
DDB_G0267344	DDB_G0267344					Y					1
DDB_G0267346	DDB_G0267346					Y					0.975884
DDB_G0267348	DDB_G0267348					Y					0.359143
DDB_G0267350	DDB_G0267350			"P:  || F: nucleic acid binding, zinc ion binding || C: intracellular"		Y					0.374771
DDB_G0267352	DDB_G0267352					Y					0.000409333
DDB_G0267354	DDB_G0267354					Y					0.00301205
DDB_G0267356	DDB_G0267356		"LTR-RETROTRANSPOSON SKIPPER, GAG (Fragment)."	"P: RNA-dependent DNA replication, chromatin assembly or disassembly, DNA integration || F: DNA binding, chromatin binding, RNA binding, RNA-directed DNA polymerase activity || C: chromatin, nucleus"		Y	62				0.000251889
DDB_G0267358	DDB_G0267358		"LTR-RETROTRANSPOSON SKIPPER, GAG (GAG)."	"P:  || F: nucleic acid binding, zinc ion binding || C: "		Y	1				0.000869565
DDB_G0267360	DDB_G0267360					Y					0.00719424
DDB_G0267362	DDB_G0267362		"LTR-RETROTRANSPOSON SKIPPER, GAG (Fragment)."	"P: RNA-dependent DNA replication, chromatin assembly or disassembly, DNA integration || F: DNA binding, chromatin binding, RNA binding, RNA-directed DNA polymerase activity || C: chromatin, nucleus"		Y					0.000249439
DDB_G0267364	DDB_G0267364		"LTR-RETROTRANSPOSON SKIPPER, GAG (GAG)."	"P:  || F: nucleic acid binding, zinc ion binding || C: "		Y					0.00226244
DDB_G0267366	DDB_G0267366		"LTR-RETROTRANSPOSON SKIPPER, GAG (Fragment)."	"P: RNA-dependent DNA replication || F: RNA binding, RNA-directed DNA polymerase activity || C: "		Y	67				0.000427716
DDB_G0267368	DDB_G0267368		"LTR-RETROTRANSPOSON SKIPPER, GAG (GAG)."	"P:  || F: nucleic acid binding, zinc ion binding || C: "		Y	46				0.000869565
DDB_G0267370	DDB_G0267370					Y					0.116725
DDB_G0267372	DDB_G0267372		5'-B-MODULE (Fragment).			Y					0.00155039
DDB_G0267374	acpA	"cap32, cap-beta"	subunit of heterodimeric actin capping protein cap32/34	P: actin cytoskeleton organization || F: actin binding || C: F-actin capping protein complex	F_actin_cap_B	Y	14				1
DDB_G0267376	acrA	"ACR, DG1100, ACB"	"adenylyl cyclase, adenylate cyclase"	"P: two-component signal transduction system (phosphorelay), cAMP biosynthetic process, regulation of transcription, DNA-dependent, intracellular signaling cascade, cyclic nucleotide biosynthetic process, phosphorylation, peptidyl-histidine phosphorylation, sporulation resulting in formation of a cellular spore, sorocarp development || F: two-component response regulator activity, adenylate cyclase activity, protein histidine kinase activity, ATP binding, transferase activity, transferring phosphorus-containing groups, phosphorus-oxygen lyase activity || C: soluble fraction"	"Response_reg, Guanylate_cyc, HATPase_c"	Y	4	"V10225: aberrant cAMP wave formation, aberrant culmition, aberrant slug migration || acrA-: decreased gene expression, decreased sporulation, increased stalk length, spores inviable"			0.892515
DDB_G0267378	aqpA		"aquaporin, major intrinsic protein family protein"	"P: transport || F: transporter activity, porin activity || C: membrane, integral to membrane, outer membrane"	MIP	Y	42		prespore		0.996433
DDB_G0267380	argE	P52D	acetylornithine deacetylase	"P: proteolysis || F: metallopeptidase activity, hydrolase activity, protein dimerization activity || C: phagocytic vesicle"	"Peptidase_M20, M20_dimer"	Y	320				1
DDB_G0267382	corA		"actin binding protein, coronin, WD-40 repeat-containing protein"	"P: cytokinesis, endocytosis, cell motion, hyperosmotic response, actin filament organization, chemotaxis to cAMP, negative regulation of actin nucleation, response to other organism || F: actin filament binding || C: Arp2/3 protein complex, cell cortex, actin cytoskeleton, actin cytoskeleton, cortical cytoskeleton, cell projection, phagocytic vesicle, cell tip"	"WD40, WD40, WD40, DUF1899, DUF1900"	Y	452	"corA-: aberrant cell morphology, aberrant cytokinesis, decreased cell motility, decreased growth rate || corA-: aberrant cell morphology, aberrant cytokinesis, decreased cell motility, decreased growth rate || corA-: aberrant cell morphology, aberrant cytokinesis, decreased cell motility, decreased growth rate"			1
DDB_G0267384	culB		cullin B	"P: ubiquitin-dependent protein catabolic process, negative regulation of sorocarp stalk cell differentiation, negative regulation of sorocarp stalk cell differentiation || F: ubiquitin protein ligase binding || C: cullin-RING ubiquitin ligase complex"	"Cullin, Cullin_Nedd8"	Y	10	"culB-: aberrant slug formation, decreased fruiting body size, decreased sporulation, multiple tips in mound, precocious gene expression"			0.985326
DDB_G0267386	cysB		cystathionine beta-synthase	"P: cysteine metabolic process, cysteine biosynthetic process from serine, metabolic process, cysteine biosynthetic process via cystathionine || F: catalytic activity, cystathionine beta-synthase activity || C: cytoplasm"	"PALP, CBS"	Y	54				0.991322
DDB_G0267388	dafE		diaminopimelate epimerase	P: lysine biosynthetic process via diaminopimelate || F: diaminopimelate epimerase activity || C: 		Y	1				0.931436
DDB_G0267390	psmB6	"DAPS-1, dapA"	"proteasome subunit beta type 6, 20S proteasome subunit beta-6"	"P: proteolysis, ubiquitin-dependent protein catabolic process || F: threonine-type endopeptidase activity, peptidase activity || C: nucleus, cytoplasm, cytosol, proteasome core complex, protein complex"	Proteasome	Y	12				1
DDB_G0267392	plbG	"DG1067, PLB"	phospholipase B-like protein	"P: phospholipid catabolic process, phosphatidylinositol catabolic process, phosphatidylethanolamine catabolic process || F: phospholipase activity || C: extracellular region"	Phospholip_B	Y	2	"plbG-: decreased stalk length, decreased stalk width"			0.995551
DDB_G0267394	vps46	DG1118	SNF7 family protein	"P: protein targeting to vacuole, protein transport, late endosome to vacuole transport || F: molecular_function || C: cytoplasm, late endosome"	Snf7	Y	2	vps46-: increased sorus size			1
DDB_G0267396	kif2	"K2, GPK2, ksnB"	"kinesin-14, kinesin family member 2"	"P: mitotic spindle elongation, karyogamy, microtubule-based movement, establishment or maintenance of microtubule cytoskeleton polarity, cytoplasmic microtubule organization, minus-end directed microtubule sliding, microtubule sliding || F: microtubule motor activity, ATP binding, ATPase activity || C: kinetochore, nucleus, cytoplasm, microtubule associated complex, microtubule cytoskeleton"	Kinesin	Y	1				0.99916
DDB_G0267398	gppA	"GP100, P29F8, dajumin"	glycoprotein gp100	P:  || F:  || C: contractile vacuole		Y	1				0.999389
DDB_G0267400	hspD	hsc90	heat shock protein Hsp90 family protein	"P: regulation of transcription, DNA-dependent, protein folding, response to unfolded protein, aggregation involved in sorocarp development || F: nucleotide binding, transcription factor activity, protein binding, ATP binding, sequence-specific DNA binding, unfolded protein binding || C: soluble fraction, nucleus, centrosome, phagocytic vesicle"	"HSP90, HATPase_c"	Y	762				1
DDB_G0267402	H3a	DdH3	histone H3	"P: nucleosome assembly, chromosome organization || F: DNA binding || C: nucleosome, nucleus"		Y	64				0.971496
DDB_G0267404	kif6	"K6, ksnF"	"SAM domain-containing protein, kinesin-13, kinesin family member 6"	"P: microtubule-based movement || F: microtubule motor activity, ATP binding || C: centrosome, microtubule associated complex"	"Kinesin, SAM_1"	Y	9				0.925016
DDB_G0267406	lmpA		lysosomal integral membrane glycoprotein	"P: cell adhesion || F:  || C: lysosome, membrane, phagolysosome"	CD36	Y	21				1
DDB_G0267408	psmA3	"veg108, rcdX, prtD"	"20S proteasome subunit alpha-3, proteasome subunit alpha type 3, 20S proteasome subunit C8"	"P: proteolysis, ubiquitin-dependent protein catabolic process || F: endopeptidase activity, threonine-type endopeptidase activity, peptidase activity, hydrolase activity || C: nucleus, cytoplasm, cytosol, proteasome core complex, protein complex"	"Proteasome, Proteasome_A_N"	Y	5				0.991979
DDB_G0267410	pslA		unknown	P: sporulation resulting in formation of a cellular spore || F: molecular_function || C: nucleus		Y	1	"pslA-: abolished gene expression, abolished sporulation, abolished stalk cell differentiation in vitro, decreased sorus size, increased aggregate size, increased stalk length, mislocalized gene expression"			0.993194
DDB_G0267412	pspA	"D19, psA, SP29, ponG"	"cell surface glycoprotein PsA precursor, ponticulin-related protein"	"P: cell adhesion || F: molecular_function || C: membrane, anchored to plasma membrane"		Y	117		prespore		1
DDB_G0267414	repD	"RAD3, TFIIH-XPD, ERCC2, XPD"	transcription factor IIH component	"P: nucleotide-excision repair, transcription from RNA polymerase II promoter, response to DNA damage stimulus || F: magnesium ion binding, DNA binding, ATP binding, general RNA polymerase II transcription factor activity, ATP-dependent 5'-3' DNA helicase activity || C: SSL2-core TFIIH complex portion of NEF3 complex, SSL2-core TFIIH complex portion of holo TFIIH complex, holo TFIIH complex"	"DEAD_2, DUF1227"	Y	32				1
DDB_G0267416	rpmA	RPO41	DNA-dependent RNA polymerase	"P: transcription, transcription from mitochondrial promoter || F: DNA binding, DNA-directed RNA polymerase activity || C: mitochondrial matrix"		Y	5				0.989839
DDB_G0267418	sahA	SAHH	"S-adenosyl-L-homocysteine hydrolase, adenosylhomocysteinase, AdoHyc hydrolase"	"P: one-carbon compound metabolic process, establishment or maintenance of cell polarity || F: adenosylhomocysteinase activity, adenosylhomocysteinase activity, adenosylhomocysteinase activity, hydrolase activity, cAMP binding || C: nucleus, nucleus, cytoplasm, cytoplasm, cytoplasm, cell cortex, actin rod, cell leading edge, filamentous actin, phagocytic vesicle"	"AdoHcyase_NAD, AdoHcyase"	Y	300				1
DDB_G0267420	sodA	SOD	superoxide dismutase	"P: superoxide metabolic process, response to oxidative stress, aggregation involved in sorocarp development || F: superoxide dismutase activity, superoxide dismutase activity, copper ion binding, zinc ion binding, oxidoreductase activity, metal ion binding || C: "	Sod_Cu	Y	95	"[act15]:sodA:myc: abolished aggregation, decreased gene expression"			1
DDB_G0267422	tipC	"DG1038, vps13, vps13C"		"P: culmination during sorocarp development, late endosome to vacuole transport || F: molecular_function || C: "	DUF1162	Y	10	"V10126: aberrant cAMP wave formation, aberrant culmition, aberrant slug migration || V10138: wild type || V10212: aberrant aggregation, aberrant cAMP wave formation, aberrant culmition, aberrant vegetative growth, abolished slug migration || V30642: aberrant aggregation, aberrant cAMP wave formation, abolished culmition, abolished slug migration || V31685: aberrant aggregation, aberrant cAMP wave formation, aberrant culmition, aberrant streaming, abolished slug migration, wild type || tipC-: development arrests at mound stage, increased aggregate size, multiple tips"			0.970644
DDB_G0267424	amtC		ammonium transporter	"P: ammonium transport, culmination during sorocarp development, regulation of developmental process || F: ammonium transmembrane transporter activity || C: integral to membrane"	Ammonium_transp	Y	4	"amtC-: aberrant fruiting body morphology, aberrant protein localization, decreased gene expression, delayed culmition, development arrests at slug stage, mislocalized gene expression"			0.988435
DDB_G0267426	cshA		citrate synthase	"P: glyoxylate cycle, glyoxylate cycle, glyoxylate cycle, tricarboxylic acid cycle, translation, endocytosis, pinocytosis, phagocytosis, cell proliferation, sorocarp morphogenesis, positive regulation of phagocytosis || F: citrate (Si)-synthase activity, citrate (Si)-synthase activity, iron ion binding, peptide deformylase activity || C: peroxisome, peroxisome"	Citrate_synt	Y	33	"cshA-: decreased growth rate, decreased phagocytosis, delayed aggregation, development arrests at loose aggregate stage"			0.997297
DDB_G0267428	abcH2		putative non-transporter ABC protein	"P: transport || F: ATP binding, ATPase activity, coupled to transmembrane movement of substances || C: ATP-binding cassette (ABC) transporter complex"	ABC_tran	Y	2				0.890473
DDB_G0267430	abcG20		ABC transporter G family protein	"P: transport || F: ATP binding, ATPase activity, nucleoside-triphosphatase activity, ATPase activity, coupled to transmembrane movement of substances || C: integral to membrane, ATP-binding cassette (ABC) transporter complex"	"ABC_tran, ABC2_membrane"	Y	2				0.986326
DDB_G0267432	abcG15		ABC transporter G family protein	"P: transport || F: ATP binding, ATPase activity, nucleoside-triphosphatase activity, ATPase activity, coupled to transmembrane movement of substances || C: integral to membrane"		Y	4				0.952134
DDB_G0267434	DDB_G0267434		unknown	P: biological_process || F: molecular_function || C: cellular_component		Y					0.97562
DDB_G0267436	abcF4		putative non-transporter ABC protein	"P: regulation of translational elongation, transport || F: ATP binding, ATPase activity, nucleoside-triphosphatase activity, ATPase activity, coupled to transmembrane movement of substances || C: cytosol, integral to membrane"	"ABC_tran, ABC_tran"	Y	36				0.891837
DDB_G0267438	abcA2		ABC transporter A family protein	"P: transport || F: ATP binding, ATPase activity, coupled to transmembrane movement of substances || C: integral to membrane"	"ABC_tran, ABC_tran"	Y	12				0.999384
DDB_G0267440	lmpC		lysosomal integral membrane protein II	P: cell adhesion || F: sugar binding || C: membrane	CD36	Y	7				0.998723
DDB_G0267442	cdk8	"Ddcdk8, CDK"	"protein serine/threonine kinase, CDK family protein kinase, cyclin-dependent kinase, CTD kinase, protein kinase, CMGC group"	"P: protein amino acid phosphorylation, hyperphosphorylation of RNA polymerase II, aggregation involved in sorocarp development, aggregation involved in sorocarp development || F: ATP binding, RNA polymerase subunit kinase activity, RNA polymerase subunit kinase activity, kinase activity, cyclin-dependent protein kinase regulator activity || C: nucleus, cytosol, DNA-directed RNA polymerase II, holoenzyme"	Pkinase	Y	1	"[act15]:myc-cdk8: multiple tips || cdk8-: abolished aggregation, decreased gene expression, mislocalized gene expression || cdk8-/[cdk8]:cdk8: wild type"			0.998252
DDB_G0267444	phg1a	phg1	putative phagocytic receptor 1a	"P: transport, phagocytosis, cell proliferation, sorocarp development, cell-substrate adhesion, cell-substrate adhesion, secretion of lysosomal enzymes, defense response to bacterium || F: transmembrane receptor activity || C: integral to plasma membrane"	EMP70	Y	25	"phg1a-: aberrant cytokinesis, abolished resistance to pathogenic bacteria, decreased cell-substrate adhesion, decreased growth rate, decreased phagocytosis, development arrests at slug stage, increased secretion of lysosomal enzyme"			0.992735
DDB_G0267446	cnbA	CNB	"protein phosphatase 2B, protein serine/threonine phosphatase, CaM-dependent protein phosphatase, regulatory subunit, calcineurin B"	"P: protein amino acid dephosphorylation, positive regulation of sorocarp stalk cell differentiation || F: protein serine/threonine phosphatase activity, calcium ion binding, protein binding || C: calcineurin complex"	"efhand, efhand, efhand, efhand"	Y	12	"[Ri]cnbA: aberrant stalk cell differentiation, decreased gene expression, decreased stalk length, multiple tips in culmint"			0.992647
DDB_G0267448	DDB_G0267448		erg4/erg24 family protein	P: biological_process || F: molecular_function || C: integral to membrane		Y	17				1
DDB_G0267450	pakC		"p21-activated protein kinase, putative protein serine/threonine kinase, pleckstrin homology (PH) domain-containing protein, STE20 family protein kinase, PH domain-containing protein, protein kinase, STE group, PAKA subfamily protein kinase"	"P: cytokinesis, protein amino acid phosphorylation, establishment or maintenance of cell polarity, negative regulation of pseudopodium assembly || F: protein kinase activity, protein serine/threonine kinase activity, ATP binding, kinase activity, Rac GTPase binding || C: "		Y	51	"PAKc-: decreased chemotaxis rate, decreased lateral pseudopod suppression || [OE]:pakC: decreased cell motility || pakC(R34C): decreased chemotaxis rate, decreased lateral pseudopod suppression || pakC(S466A/P470A): decreased chemotaxis rate, decreased lateral pseudopod suppression"			1
DDB_G0267452	sonA	ubqln	"UAS domain-containing protein, ubiquilin domain-containing protein"	P: protein modification process || F:  || C: phagocytic vesicle	"ubiquitin, UBA"	Y	27				0.997457
DDB_G0267454	ancA	"slc25a4, ANT"	"ADP/ATP translocase, transmembrane protein, mitochondrial substrate carrier family protein"	"P: ADP transport, ATP transport || F: ATP:ADP antiporter activity, binding, protein binding || C: mitochondrial inner membrane, integral to membrane"	"Mito_carr, Mito_carr, Mito_carr"	Y	231				0.989259
DDB_G0267456	CBP2		calcium-binding protein	"P: ciliary or flagellar motility || F: calcium ion binding, protein binding || C: flagellin-based flagellum"	"efhand, efhand"	Y	27				1
DDB_G0267458	DDB_G0267458	"PLK330, AAC4"	unknown			Y	3				0.895932
DDB_G0267460	cybA	p22phox	"p22-like superoxide-generating NADPH oxidase light subunit, flavocytochrome b small subunit"	"P: superoxide metabolic process, sorocarp development || F: superoxide-generating NADPH oxidase activity || C: integral to membrane, NADPH oxidase complex"		Y	2	"cybA-: aberrant development, abolished sporulation"			1
DDB_G0267462	Dd5P4	"PI5P4, RacGAP"	"RhoGAP domain-containing protein, inositol 5-phosphatase"	"P: phagocytosis, engulfment, cell proliferation, cell proliferation, aggregation involved in sorocarp development, regulation of Rac protein signal transduction, inositol phosphate dephosphorylation, phosphoinositide dephosphorylation || F: phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity, inositol-polyphosphate 5-phosphatase activity, inositol-polyphosphate 5-phosphatase activity, Rac GTPase activator activity, phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity || C: cytosol"		Y		"Dd5P4-: decreased engulfment during phagocytosis, decreased growth rate, decreased phagocytosis, multiple tips in mound || Dd5P4-/[act15]:Dd5P4: wild type || Dd5P4-/[act15]:Dd5P4:GFP: wild type || Dd5P4-/[act15]:GAP5P4: decreased growth rate, multiple tips in mound || Dd5P4-/[act15]:Hs-OCRL: decreased phagocytosis || Dd5P4-/[act15]:Hs-OCRL(D422A): decreased phagocytosis || Dd5P4-/[act15]:cat5P4: decreased growth rate, multiple tips in mound"			0.998309
DDB_G0267464	polA		"mitochondrial DNA polymerase A, DNA polymerase A family protein, 5'-3' exonuclease domain-containing protein, 3'-5' exonuclease domain-containing protein"	"P: DNA replication || F: DNA binding, DNA-directed DNA polymerase activity, 3'-5' exonuclease activity, 5'-3' exonuclease activity || C: intracellular"		Y	4				0.985162
DDB_G0267466	cupA		"calcium up-regulated protein, ricin B lectin domain-containing protein"	"P: response to cation stress || F: molecular_function || C: nucleus, cytoplasm, cell cortex"	"Ricin_B_lectin, Ricin_B_lectin"	Y	3				0.106049
DDB_G0267468	adprt4	"parp-4, PARP4, pARTe"	"poly(ADP-ribosyl)transferase, NAD+ ADP-ribosyltransferase, BRCT domain-containing protein"	"P: protein amino acid ADP-ribosylation || F: NAD+ ADP-ribosyltransferase activity, transferase activity || C: intracellular, nucleus"		Y					1
DDB_G0267470	dicB		discoidin-inducing complex (DIC) protein	"P: biological_process, sorocarp development || F: molecular_function || C: extracellular region"		Y	19	"V10246: aberrant cAMP wave formation, aberrant streaming || V30673: aberrant aggregation, aberrant cAMP wave formation, aberrant culmition, abolished slug migration"			1
